time,value,datetime
19:03:00,73,2025-10-02 19:03:00-04:00
19:04:00,75,2025-10-02 19:04:00-04:00
19:05:00,73,2025-10-02 19:05:00-04:00
19:06:00,70,2025-10-02 19:06:00-04:00
19:07:00,57,2025-10-02 19:07:00-04:00
19:08:00,53,2025-10-02 19:08:00-04:00
19:09:00,55,2025-10-02 19:09:00-04:00
19:10:00,56,2025-10-02 19:10:00-04:00
19:11:00,54,2025-10-02 19:11:00-04:00
19:12:00,53,2025-10-02 19:12:00-04:00
19:13:00,56,2025-10-02 19:13:00-04:00
19:14:00,60,2025-10-02 19:14:00-04:00
19:15:00,69,2025-10-02 19:15:00-04:00
19:16:00,64,2025-10-02 19:16:00-04:00
19:18:00,104,2025-10-02 19:18:00-04:00
19:19:00,84,2025-10-02 19:19:00-04:00
19:20:00,79,2025-10-02 19:20:00-04:00
19:21:00,80,2025-10-02 19:21:00-04:00
19:22:00,75,2025-10-02 19:22:00-04:00
19:23:00,71,2025-10-02 19:23:00-04:00
19:24:00,71,2025-10-02 19:24:00-04:00
19:25:00,68,2025-10-02 19:25:00-04:00
19:26:00,67,2025-10-02 19:26:00-04:00
19:27:00,65,2025-10-02 19:27:00-04:00
19:28:00,56,2025-10-02 19:28:00-04:00
19:29:00,55,2025-10-02 19:29:00-04:00
19:30:00,60,2025-10-02 19:30:00-04:00
19:31:00,55,2025-10-02 19:31:00-04:00
19:32:00,54,2025-10-02 19:32:00-04:00
19:33:00,53,2025-10-02 19:33:00-04:00
19:34:00,52,2025-10-02 19:34:00-04:00
19:35:00,51,2025-10-02 19:35:00-04:00
19:36:00,51,2025-10-02 19:36:00-04:00
19:37:00,51,2025-10-02 19:37:00-04:00
19:38:00,52,2025-10-02 19:38:00-04:00
19:39:00,55,2025-10-02 19:39:00-04:00
19:40:00,57,2025-10-02 19:40:00-04:00
19:41:00,58,2025-10-02 19:41:00-04:00
19:42:00,68,2025-10-02 19:42:00-04:00
19:43:00,87,2025-10-02 19:43:00-04:00
19:44:00,84,2025-10-02 19:44:00-04:00
19:45:00,81,2025-10-02 19:45:00-04:00
19:46:00,82,2025-10-02 19:46:00-04:00
19:47:00,82,2025-10-02 19:47:00-04:00
19:48:00,73,2025-10-02 19:48:00-04:00
19:49:00,61,2025-10-02 19:49:00-04:00
19:50:00,64,2025-10-02 19:50:00-04:00
19:51:00,67,2025-10-02 19:51:00-04:00
19:52:00,67,2025-10-02 19:52:00-04:00
19:53:00,67,2025-10-02 19:53:00-04:00
19:54:00,71,2025-10-02 19:54:00-04:00
19:55:00,68,2025-10-02 19:55:00-04:00
19:56:00,67,2025-10-02 19:56:00-04:00
19:57:00,69,2025-10-02 19:57:00-04:00
